Sygnatura czasowa,Czy studiujesz na Wydziale Zarządzania UŁ?,Do eksperymentu trzeba przygotować aparaturę. Czy potrafisz włączyć tryb prywatny (incognito) w swojej przeglądarce internetowej?,Czy udało Ci się włączyć tryb prywatny?,1. na Twojej liście wyszukiwania (wklej pełny adres),2. na Twojej liście wyszukiwania (wklej pełny adres),3. na Twojej liście wyszukiwania (wklej pełny adres),4. na Twojej liście wyszukiwania (wklej pełny adres),5. na Twojej liście wyszukiwania (wklej pełny adres),1. na Twojej liście wyszukiwania (wklej pełny adres)_1,2. na Twojej liście wyszukiwania (wklej pełny adres)_1,3. na Twojej liście wyszukiwania (wklej pełny adres)_1,4. na Twojej liście wyszukiwania (wklej pełny adres)_1,5. na Twojej liście wyszukiwania (wklej pełny adres)_1,Przerywanie ciąży:,Konkordat:,Związki osób tej samej płci:,Rodzaj studiów,Twój rok urodzenia,Twoja płeć,"Jeżeli chcesz coś dodać, o coś nas zapytać lub masz uwagi - wpisz je poniżej:","Prywatność konsumentów w Internecie to tak naprawdę kwestia prawa konsumentów. Prawa do kontroli i autonomii co do tego, jak są gromadzone, wykorzystywane i udostępniane informacje o konsumentach.",Kontrola konsumentów nad ich danymi osobowymi to podstawa prywatności konsumentów.,"Uważam, że prywatność konsumentów online nie zostaje naruszona, kiedy w wyniku zawarcia transakcji kontrola konsumentów zostanie utracona, lub zmniejszona wbrew ich woli",id
2019-05-04T01:14:05Z,Tak,Tak,NA,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24714583,magdalena-adamowicz-bylam-prawdziwym-krytykiem-pawla.html",https://twitter.com/adamowiczpawel,https://www.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24714583,magdalena-adamowicz-bylam-prawdziwym-krytykiem-pawla.html?disableRedirects=true",https://twitter.com/adamowiczpawel,https://wiadomosci.wp.pl/pawel-adamowicz-6249970898101889c,2,7,1,Licencjackie,1991,Mężczyzna,NA,7,7,1,human_bovine
2019-05-05T21:48:03Z,Tak,Tak,NA,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24749219,wystawa-fotografii-gdansk-pawla-adamowicza-do-obejrzenia-w.html?disableRedirects=true",https://twitter.com/adamowiczpawel,https://www.fakt.pl/wydarzenia/polska/trojmiasto/adamowicz-tego-nie-doczekal-trener-lechii-oddaje-mu-hold/pykfsx0,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24749219,wystawa-fotografii-gdansk-pawla-adamowicza-do-obejrzenia-w.html?disableRedirects=true",https://twitter.com/adamowiczpawel,https://www.fakt.pl/wydarzenia/polska/trojmiasto/adamowicz-tego-nie-doczekal-trener-lechii-oddaje-mu-hold/pykfsx0,1,7,1,Licencjackie,1999,Kobieta,NA,7,7,6,guerdon_vole
2019-05-06T11:58:46Z,Tak,Tak,NA,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24749219,wystawa-fotografii-gdansk-pawla-adamowicza-do-obejrzenia-w.html",https://twitter.com/adamowiczpawel,"http://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz",https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24749219,wystawa-fotografii-gdansk-pawla-adamowicza-do-obejrzenia-w.html?disableRedirects=true",https://twitter.com/adamowiczpawel,"http://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz",2,6,1,Magisterskie,1995,Kobieta,NA,7,7,1,metempsychosic_saltwatercrocodile
2019-05-06T19:20:39Z,Tak,Tak,NA,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://twitter.com/adamowiczpawel,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24749219,wystawa-fotografii-gdansk-pawla-adamowicza-do-obejrzenia-w.html","http://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz",https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://twitter.com/adamowiczpawel,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24749219,wystawa-fotografii-gdansk-pawla-adamowicza-do-obejrzenia-w.html?disableRedirects=true","http://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz",2,7,1,Licencjackie,1997,Kobieta,NA,5,5,2,sinister_icelandgull
2019-05-07T10:58:12Z,Tak,Tak,NA,https://pl.wikipedia.org/wiki/Paweł_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://twitter.com/adamowiczpawel,https://www.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,"http://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz",https://pl.wikipedia.org/wiki/Paweł_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://twitter.com/adamowiczpawel,https://www.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,"http://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz",4,5,4,Magisterskie,1995,Kobieta,NA,3,3,3,nonlineal_agama
2019-05-11T10:41:28Z,Tak,Tak,NA,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,"http://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz","https://www.tvn24.pl/ciekawostki-michalki,5/magdalena-adamowicz-publikuje-na-twitterze-prace-corki-o-bohaterach,919670.html",https://twitter.com/adamowiczpawel,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,"http://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz","https://www.tvn24.pl/ciekawostki-michalki,5/magdalena-adamowicz-publikuje-na-twitterze-prace-corki-o-bohaterach,919670.html",https://www.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,4,1,1,Licencjackie,1997,Kobieta,NA,4,7,1,volatile_commabutterfly
2019-05-15T10:56:51Z,Tak,Nie,Tak,https://www.google.com/url?sa=t&source=web&rct=j&url=https://pl.m.wikipedia.org/wiki/Pawe%25C5%2582_Adamowicz&ved=2ahUKEwi4wODPk53iAhUKxosKHbwYCOMQFjAOegQIBBAB&usg=AOvVaw14WCiU273zcC52_ZdB2Xmu,https://www.google.com/url?sa=t&source=web&rct=j&url=https://m.facebook.com/Pawel.Adamowicz/&ved=2ahUKEwi4wODPk53iAhUKxosKHbwYCOMQjjgwD3oECAMQAQ&usg=AOvVaw3Y44_PuPgBz_r0ATmDsAId,https://www.google.com/url?sa=t&source=web&rct=j&url=https://m.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w&ved=2ahUKEwi4wODPk53iAhUKxosKHbwYCOMQjjgwEHoECAoQAQ&usg=AOvVaw3IfdM9m66D6A8XbiuyRnTY,https://www.google.com/url?sa=t&source=web&rct=j&url=http://adamowicz.pl/&ved=2ahUKEwi4wODPk53iAhUKxosKHbwYCOMQFjARegQIARAB&usg=AOvVaw262g4sGRqk11hBSilVk_Zi,https://www.google.com/url?sa=t&source=web&rct=j&url=https://wiadomosci.wp.pl/pawel-adamowicz-6249970898101889c&ved=2ahUKEwi4wODPk53iAhUKxosKHbwYCOMQFjASegQIAhAB&usg=AOvVaw3ZGyL54sDbqPS_5MUr83zF,https://pl.m.wikipedia.org/wiki/Paweł_Adamowicz,https://m.facebook.com/Pawel.Adamowicz/,https://m.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,http://adamowicz.pl,"http://wiadomosci.gazeta.pl/wiadomosci/0,114916.html?tag=pawe%B3+adamowicz",2,3,5,Licencjackie,1997,Kobieta,NA,7,7,1,undisheveled_gourami
2019-05-15T10:57:07Z,Tak,Tak,NA,https://www.google.pl/url?sa=t&source=web&rct=j&url=https://pl.m.wikipedia.org/wiki/Pawe%25C5%2582_Adamowicz&ved=2ahUKEwj26NXPk53iAhUM_SoKHUP0Du4QFjAOegQIAhAB&usg=AOvVaw14WCiU273zcC52_ZdB2Xmu,https://www.google.pl/url?sa=t&source=web&rct=j&url=https://m.facebook.com/Pawel.Adamowicz/&ved=2ahUKEwj26NXPk53iAhUM_SoKHUP0Du4QjjgwD3oECAUQAQ&usg=AOvVaw3Y44_PuPgBz_r0ATmDsAId,https://www.google.pl/url?sa=t&source=web&rct=j&url=https://m.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w&ved=2ahUKEwj26NXPk53iAhUM_SoKHUP0Du4QjjgwEHoECAMQAQ&usg=AOvVaw3IfdM9m66D6A8XbiuyRnTY,https://www.google.pl/url?sa=t&source=web&rct=j&url=https://wiadomosci.wp.pl/pawel-adamowicz-6249970898101889c&ved=2ahUKEwj26NXPk53iAhUM_SoKHUP0Du4QFjASegQIBBAB&usg=AOvVaw3ZGyL54sDbqPS_5MUr83zF,https://www.google.pl/url?sa=t&source=web&rct=j&url=https://mobile.twitter.com/adamowiczpawel&ved=2ahUKEwj26NXPk53iAhUM_SoKHUP0Du4QFjAUegQIChAB&usg=AOvVaw3VTg8iV00lV2M57LbAu7D1,https://www.google.pl/url?sa=t&source=web&rct=j&url=https://pl.m.wikipedia.org/wiki/Pawe%25C5%2582_Adamowicz&ved=2ahUKEwjjjebakp3iAhXKtYsKHbxvCCUQFjAOegQIAxAB&usg=AOvVaw14WCiU273zcC52_ZdB2Xmu,https://www.google.pl/url?sa=t&source=web&rct=j&url=https://wiadomosci.wp.pl/pawel-adamowicz-6249970898101889c&ved=2ahUKEwjjjebakp3iAhXKtYsKHbxvCCUQFjATegQIBRAB&usg=AOvVaw3ZGyL54sDbqPS_5MUr83zF,https://www.google.pl/url?sa=t&source=web&rct=j&url=https://m.facebook.com/Pawel.Adamowicz/&ved=2ahUKEwjjjebakp3iAhXKtYsKHbxvCCUQFjAPegQIAhAB&usg=AOvVaw3Y44_PuPgBz_r0ATmDsAId,https://www.google.pl/url?sa=t&source=web&rct=j&url=https://wiadomosci.wp.pl/pawel-adamowicz-6249970898101889c&ved=2ahUKEwjjjebakp3iAhXKtYsKHbxvCCUQFjATegQIBRAB&usg=AOvVaw3ZGyL54sDbqPS_5MUr83zF,https://www.google.pl/url?sa=t&source=web&rct=j&url=https://mobile.twitter.com/adamowiczpawel&ved=2ahUKEwjjjebakp3iAhXKtYsKHbxvCCUQFjAUegQICRAB&usg=AOvVaw3VTg8iV00lV2M57LbAu7D1,1,7,1,Licencjackie,1998,Kobieta,NA,1,7,1,fluid_hammerkop
2019-05-15T12:22:37Z,Tak,Tak,NA,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://www.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,https://twitter.com/adamowiczpawel,http://adamowicz.pl/,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://www.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,https://twitter.com/adamowiczpawel,http://adamowicz.pl/,2,7,1,Licencjackie,1998,Mężczyzna,NA,6,6,2,asphyxiated_indigobunting
2019-05-15T17:46:44Z,Tak,Tak,NA,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://www.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,http://adamowicz.pl/,https://twitter.com/adamowiczpawel,https://pl.wikipedia.org/wiki/Pawe%C5%82_Adamowicz,https://www.facebook.com/Pawel.Adamowicz/,https://www.youtube.com/channel/UC2NkYSiMMmX4uwWelr1HS_w,http://adamowicz.pl/,https://twitter.com/adamowiczpawel,3,7,1,Magisterskie,1994,Kobieta,NA,7,7,4,simaroubaceous_meadowlark
